B19187500           5214201601294005808538560    51.54      1      0    16.00  0.00  0.00
B19187500           5214201601297506195196687    17.68      1      0    16.00  0.00  0.00
B19187500           5214201601297501078231158    43.82      1      0    16.00  0.00  0.00
B19187500           5214201601294042762030242   293.31      1      0    16.00  0.00  0.00
B19187500           521420160129 650240028335    37.18      2      0    16.00  0.00  0.00
B19187500           5214201601298414601746106   104.41      1      0     0.00  0.00  0.00
B19187500           5214201601298414602715101   138.99      1      0     0.00  0.00  0.00
B19187500           5214201601297612412546002    42.67      1      0    16.00  0.00  0.00
B19187500           5214201601297501078279112    43.83      1      0    16.00  0.00  0.00
B19187500           5214201601297501078231257    43.83      1      0    16.00  0.00  0.00
B19187500           5214201601297501078231127    43.83      1      0    16.00  0.00  0.00
B19187500           5214201601297501078231165    43.82      1      0    16.00  0.00  0.00
B19187500           5214201601297501078231288    43.83      1      0    16.00  0.00  0.00
B19187500           5214201601297501078231301    43.82      1      0    16.00  0.00  0.00
B19187500           5214201601297501078231295    43.82      1      0    16.00  0.00  0.00
B19187500           5214201601297501078231271    43.82      1      0    16.00  0.00  0.00
B19187500           5214201601297501078231233    43.82      1      0    16.00  0.00  0.00
B19187501           5214201601293499320002394   168.16      1      0     0.00  0.00  8.00
B19187501           5214201601297501123018031   166.93      1      0     0.00  9.09  8.00
B19187501           5214201601293499320002448   635.71      1      0     0.00  0.00  8.00
B19187501           5214201601293499320002738   186.21      1      0    16.00  0.00  8.00
B19187501           5214201601297501188801227   167.31      9      0     0.00  9.00  8.00
B19187501           5214201601293499320004473   282.76      1      0    16.00  0.00  8.00
B19187501           5214201601293499320004497   227.59      1      0    16.00  0.00  8.00
B19187501           5214201601293499320004541   152.41      1      0    16.00  0.00  8.00
B19187501           521420160129 772618080858   141.38      1      0    16.00  0.00  8.00
B19187502           5214201601294019338604961   112.10      1      0    16.00  0.00 10.00
B19187502           5214201601294019338604954   120.05      1      0    16.00  0.00 10.00
B19187503           521420160129 354312225010    20.68      2      0     0.00  0.00 11.00
B19187503           521420160129 354312225027    35.52      2      0     0.00  0.00 11.00
B19187503           521420160129 354312225164    32.39      5      0     0.00  0.00 11.00
B19187503           521420160129 354312425304    18.81      2      0     0.00  0.00 11.00
B19187503           521420160129 354312425403    18.81      3      0     0.00  0.00 11.00
B19187503           521420160129 354312625018    40.74      2      0     0.00  0.00 11.00
B19187503           521420160129 354312425106    18.81      1      0     0.00  0.00 11.00
B19187503           5214201601297502250340255    56.76      3      0     0.00  0.00 11.00
B19187503           5214201601297502250340279    10.32      1      0    16.00  0.00 11.00
B19187504           5214201601297501289511421    26.68      3      0     0.00  0.00 15.00
B19187504           5214201601297501289511438    57.63      1      0     0.00  0.00 15.00
B19187504           5214201601297501289511469    84.18      2      0     0.00  0.00 15.00
B19187504           5214201601297501289511117    69.88      1      0     0.00  0.00 15.00
B19187504           5214201601297501289511124   112.57      1      0     0.00  0.00 15.00
B19187504           5214201601297501289512749    48.50      1      0    16.00  0.00 15.00
B19187504           5214201601297501289513234   115.15     10      0     0.00  0.00 15.00
B19187504           5214201601293282779391023   288.28      1      0    16.00  0.00 15.00
B19187504           5214201601293282779391580   288.28      1      0    16.00  0.00 15.00
B19187504           5214201601293282779405553   303.45      1      0    16.00  0.00 15.00
B19187504           5214201601297501289511407    84.18      2      0     0.00  0.00 15.00
B19187504           5214201601297501289511414    50.51      2      0     0.00  0.00 15.00
B19187505           5214201601297501583300318   248.43      1      0     0.00  0.00 18.00
B19187505           5214201601297501583300325   442.45      1      0     0.00  0.00 18.00
B19187505           521420160129     75009328    31.15      3      0     0.00  0.00 18.00
B19187505           5214201601297501108765561   109.73      1      0     0.00  0.00 18.00
B19189188           5215201601297501088579615    88.28      1      0     0.00  0.00 18.00
B19189188           5215201601297501124810986    53.73     10      0     0.00  0.00 18.00
B19189188           5215201601297501124810993    86.76      3      0     0.00  0.00 18.00
B19189188           5215201601297501124813055   165.12      1      0     0.00  0.00 18.00
B19189188           5215201601297501124815103    84.73      2      0     0.00  0.00 18.00
B19189188           5215201601297501124815226    62.06      8      0     0.00  0.00 18.00
B19189188           521520160129 020800753067    42.02      3      0     0.00  0.00 18.00
B19189188           5215201601297501124817954    36.53      8      0     0.00  0.00 18.00
B19189188           521520160129 020800755719    52.61      8      0     0.00  0.00 18.00
B19189188           521520160129 020800755726    87.26      9      0     0.00  0.00 18.00
B19189188           5215201601297501124818500   197.82      7      0     0.00  0.00 18.00
B19189188           5215201601297501125118562    26.82      4      0     0.00  0.00 18.00
B19189188           521520160129 714706100604    20.22      2      0     0.00  0.00 18.00
B19189188           5215201601297501125130878    14.55      4      0     0.00  0.00 18.00
B19189188           521520160129 714706100901   128.54      7      0     0.00  0.00 18.00
B19189188           521520160129 714706901607    20.22      3      0     0.00  0.00 18.00
B19189188           5215201601297501125130892    14.55      7      0     0.00  0.00 18.00
B19189188           5215201601297501125130885    14.55      4      0     0.00  0.00 18.00
B19189188           521520160129 714706901706    20.22      6      0     0.00  0.00 18.00
B19189188           5215201601297501125143182    19.51      8      0     0.00  0.00 18.00
B19189188           521520160129 736085132069    47.47      2      0     0.00  0.00 18.00
B19189188           521520160129 736085278507    45.48      3      0     0.00  0.00 18.00
B19189188           5215201601297501125149221    26.82      4      0     0.00  0.00 18.00
B19189188           5215201601297501250818689   381.34      1      0     0.00  4.76 18.00
B19189188           521520160129 736085405422    69.71      1      0     0.00  0.00 18.00
B19189188           5215201601297501250840086   290.90      7      0    16.00  0.00 18.00
B19189188           5215201601297501001100001   285.16      8      0     0.00  0.00 18.00
B19189188           5215201601297501001116187    80.07      7      0     0.00  0.00 18.00
B19189188           5215201601297501273500134   152.36      8      0    16.00  0.00 18.00
B19189188           5215201601297501273500165   227.33      1      0    16.00  0.00 18.00
B19189188           5215201601297501001168889    73.62      7      0     0.00  0.00 18.00
B19189188           5215201601297501273500554   174.13      2      0    16.00  0.00 18.00
B19189188           5215201601297501080911185   161.22      8      0    16.00  0.00 18.00
B19189188           5215201601297501080912052    59.68      2      0    16.00  0.00 18.00
B19189188           5215201601297501400800403    57.76      1      0     0.00  0.00 18.00
B19189188           5215201601297503008821026   154.29      2      0    16.00  0.00 18.00
B19189188           5215201601297501080912083   127.24      8      0    16.00  0.00 18.00
B19189188           5215201601297503008821033   247.68      2      0    16.00  0.00 18.00
B19189188           5215201601297501088509766    59.94      2      0     0.00  0.00 18.00
B19189188           5215201601297501088509810    66.48      2      0     0.00  0.00 18.00
B19189188           5215201601297590002012468    54.80      5      0     0.00  0.00 18.00
B19189189           5215201601297501108761860   128.75      8      0     0.00  0.00 18.00
B19189189           521520160129 300055501638   152.96      1      0     0.00  0.00 18.00
B19189189           521520160129     75009328    31.15      9      0     0.00  0.00 18.00
B19189190           5215201601297501299306277    60.52      1      0     0.00  0.00  0.00
B19189190           5215201601297501298205205   156.83      1      0     0.00  0.00  0.00
B19189190           5215201601297501299307236    36.58      3      0     0.00  0.00  0.00
B19189190           5215201601297501314707805    96.69      9      0     0.00  0.00  0.00
B19189190           5215201601297800005082123    39.24      3      0    16.00  0.00  0.00
B19189190           5215201601297501299300367   113.72      7      0     0.00  0.00  0.00
B19189190           5215201601297501318646223    99.71      6      0     0.00  0.00  0.00
B19189190           5215201601297501008427330    72.80      3      0     0.00  0.00  0.00
B19189190           5215201601297501159580014   113.80      1      0     0.00  0.00  0.00
B19189190           521520160129 310158077046    49.65      3      0    16.00  0.00  0.00
B19189190           521520160129 650240001635   258.39      9      0     0.00  0.00  0.00
B19189190           5215201601297501070637279   177.71      2      0    16.00  0.00  0.00
B19189190           5215201601297501035908246    14.80      5      0    16.00  0.00  0.00
B19189190           5215201601297501035911567     9.99      3      0    16.00  0.00  0.00
B19189190           5215201601297501314704149    28.68      2      0     0.00  0.00  0.00
B19189190           5215201601297501314704156    21.49      3      0     0.00  0.00  0.00
B19189190           5215201601297501034635044    89.47      3      0    16.00  0.00  0.00
B19189190           5215201601297501314704170    31.55      7      0     0.00  0.00  0.00
B19189190           5215201601297501314704187    22.94      1      0     0.00  0.00  0.00
B19189190           5215201601297501034650580    76.73      2      0     0.00  0.00  0.00
B19189190           5215201601297501314703173    71.70      1      0     0.00  0.00  0.00
B19189190           5215201601297501008433515    60.43      2      0     0.00  0.00  0.00
B19189190           5215201601297501008465646    69.59      1      0     0.00  0.00  0.00
B19189190           5215201601297501328979885    47.69      1      0     0.00  0.00  0.00
B19189190           5215201601294005808802814    18.13      2      0    16.00  0.00  0.00
B19189190           5215201601297501165002906    38.53      1      0     0.00  0.00  0.00
B19189190           5215201601297501086453221   127.23      3      0    16.00  0.00  0.00
B19189190           5215201601297501086494262    20.26     10      0    16.00  0.00  0.00
B19189190           5215201601297501086494286    20.26     10      0    16.00  0.00  0.00
B19189190           5215201601297501086494675    44.51      5      0    16.00  0.00  0.00
B19189190           5215201601297501328979502    80.70      2      0     0.00  0.00  0.00
B19189190           5215201601297501092774754   165.51      8      0     0.00  0.00  0.00
B19189190           5215201601297501165002913    52.97      8      0     0.00  0.00  0.00
B19189190           5215201601297501165002920    38.53      7      0     0.00  0.00  0.00
B19189190           5215201601294104480412103   158.13      1      0     0.00  0.00  0.00
B19189190           5215201601297501089809438   116.64      7      0     0.00  0.00  0.00
B19189190           521520160129 650240002465   120.90      1      0     0.00  0.00  0.00
B19189190           521520160129 650240003950    59.63      2      0     0.00  0.00  0.00
B19189190           5215201601297501089810137   123.12      6      0     0.00  0.00  0.00
B19189190           5215201601297501072300188    84.38      7      0     0.00  0.00  0.00
B19189190           5215201601297501072300218    61.73      7      0     0.00  0.00  0.00
B19189190           521520160129 650240005398    64.39      2      0     0.00  0.00  0.00
B19189190           5215201601297501098603867    86.34      1      0     0.00  0.00  0.00
B19189190           5215201601297501034630070    88.82      1      0     0.00  0.00  0.00
